,Date,Open,High,Low,Close
0,01 Jan 2019,10881.7,10923.6,10807.1,10910.1
1,02 Jan 2019,10868.85,10895.35,10735.05,10792.5
2,03 Jan 2019,10796.8,10814.05,10661.25,10672.25
3,04 Jan 2019,10699.7,10741.05,10628.65,10727.35
4,07 Jan 2019,10804.85,10835.95,10750.15,10771.8
5,08 Jan 2019,10786.25,10818.45,10733.25,10802.15
6,09 Jan 2019,10862.4,10870.4,10749.4,10855.15
7,10 Jan 2019,10859.35,10859.35,10801.8,10821.6
8,11 Jan 2019,10834.75,10850.15,10739.4,10794.95
9,14 Jan 2019,10807,10808,10692.35,10737.6
10,15 Jan 2019,10777.55,10896.95,10777.55,10886.8
11,16 Jan 2019,10899.65,10928.15,10876.9,10890.3
12,17 Jan 2019,10920.85,10930.65,10844.65,10905.2
13,18 Jan 2019,10914.85,10928.2,10852.2,10906.95
14,21 Jan 2019,10919.35,10987.45,10885.75,10961.85
15,22 Jan 2019,10949.8,10949.8,10864.15,10922.75
16,23 Jan 2019,10931.05,10944.8,10811.95,10831.5
17,24 Jan 2019,10844.05,10866.6,10798.65,10849.8
18,25 Jan 2019,10859.75,10931.7,10756.45,10780.55
19,28 Jan 2019,10792.45,10804.45,10630.95,10661.55
20,29 Jan 2019,10653.7,10690.35,10583.65,10652.2
21,30 Jan 2019,10702.25,10710.2,10612.85,10651.8
22,31 Jan 2019,10690.55,10838.05,10678.55,10830.95
23,01 Feb 2019,10851.35,10983.45,10813.45,10893.65
24,04 Feb 2019,10876.75,10927.9,10814.15,10912.25
25,05 Feb 2019,10908.65,10956.7,10886.7,10934.35
26,06 Feb 2019,10965.1,11072.6,10962.7,11062.45
27,07 Feb 2019,11070.45,11118.1,11043.6,11069.4
28,08 Feb 2019,11023.5,11041.2,10925.45,10943.6
29,11 Feb 2019,10930.9,10930.9,10857.1,10888.8
30,12 Feb 2019,10879.7,10910.9,10823.8,10831.4
31,13 Feb 2019,10870.55,10891.65,10772.1,10793.65
32,14 Feb 2019,10786.1,10792.7,10718.75,10746.05
33,15 Feb 2019,10780.25,10785.75,10620.4,10724.4
